site_id,label,ml_um,ap_um,dv_um,allen_region_id,acronym,mean_firing_rate_hz,good_unit_count
383,ch382-383,-1988.0,-5323.0,-2547.0,-1091,CUL4 5,,0
381,ch380-381,-1992.0,-5322.0,-2567.0,-1091,CUL4 5,7.617520014444987,3
379,ch378-379,-1995.0,-5320.0,-2586.0,-1091,CUL4 5,2.1612606048583984,1
377,ch376-377,-1998.0,-5318.0,-2606.0,-1091,CUL4 5,,0
375,ch374-375,-2001.0,-5317.0,-2625.0,-1091,CUL4 5,1.9592889547348022,1
373,ch372-373,-2004.0,-5315.0,-2644.0,-1091,CUL4 5,2.9080216884613037,1
371,ch370-371,-2008.0,-5314.0,-2664.0,-1091,CUL4 5,6.672040939331055,1
369,ch368-369,-2011.0,-5312.0,-2683.0,-1091,CUL4 5,7.116657733917236,2
367,ch366-367,-2014.0,-5311.0,-2702.0,-1091,CUL4 5,19.974519729614258,1
365,ch364-365,-2017.0,-5309.0,-2722.0,-1091,CUL4 5,12.378382682800293,2
363,ch362-363,-2021.0,-5308.0,-2741.0,-1091,CUL4 5,6.964191436767578,3
361,ch360-361,-2024.0,-5306.0,-2760.0,-1091,CUL4 5,14.21425724029541,1
359,ch358-359,-2027.0,-5305.0,-2780.0,-1091,CUL4 5,8.436175346374512,3
357,ch356-357,-2030.0,-5303.0,-2799.0,-1091,CUL4 5,4.967018127441406,3
